Model,Accuracy,Precision,Recall,F1
SVM (Baseline),0.6296296296296297,0.624888123572334,0.6196018062397373,0.6141498244632881
RF (Baseline),0.5740740740740741,0.5579304511913208,0.5555008210180623,0.5514945755131171
SVM (Tuned),0.5925925925925926,0.6027646711518615,0.6016728243021346,0.5914995878864241
RF (Tuned),0.5879629629629629,0.5793459472782495,0.5764778325123152,0.5740180250970588
