Model,Accuracy,Precision,Recall,F1
SVM (Baseline),0.8055555555555556,0.8151731027259812,0.8053571428571429,0.8010718477485703
RF (Baseline),0.8981481481481481,0.9021656367825723,0.8958949096880132,0.896705689023701
SVM (Tuned),0.9259259259259259,0.9252600041994303,0.9302647783251232,0.926569776955872
RF (Tuned),0.9120370370370371,0.9152465794009912,0.9088259441707718,0.9100151540725689
